time_s,Cout_uS,E_exp,E_theo
0.0,124.0,0.00019464109124586,0.002318749745220333
10.0,148.0,0.0002323135605192522,0.0022656023007771274
20.0,631.0,0.0009904720046462713,0.002213673034732287
30.0,1127.0,0.0017690363696297113,0.002162934025543662
40.0,1367.0,0.0021457610623636337,0.0021133579916513203
50.0,1452.0,0.002279184391040231,0.0020649182768086903
60.0,1488.0,0.0023356930949503195,0.0020175888357499175
70.0,1483.0,0.002327844663851696,0.001971344220185739
80.0,1459.0,0.002290172194578304,0.0019261595651203422
90.0,1426.0,0.0022383725493273898,0.0018820105754818526
100.0,1393.0,0.0021865729040764755,0.0018388735130592567
110.0,1350.0,0.002119076396628314,0.001796725183738745
120.0,1322.0,0.0020751251824760236,0.0017555429250326034
130.0,1275.0,0.0020013499301489634,0.0017153045938939544
140.0,1239.0,0.001944841226238875,0.0016759885548107921
150.0,1201.0,0.0018851931498893373,0.0016375736681729107
160.0,1162.0,0.0018239753873200751,0.0016000392789054711
170.0,1125.0,0.0017658969971902619,0.0015633652053630952
180.0,1093.0,0.0017156670381590722,0.0015275317284785162
190.0,1056.0,0.001657588648029259,0.0014925195811599482
200.0,1026.0,0.0016104980614375188,0.0014583099379314771
210.0,987.0,0.0015492802988682564,0.0014248844048109018
220.0,962.0,0.0015100381433751395,0.0013922250094195797
230.0,931.0,0.0014613778705636746,0.0013603141913189668
240.0,903.0,0.0014174266564113834,0.001329134792568646
250.0,880.0,0.0013813238733577158,0.0012986700485007768
260.0,852.0,0.001337372659205425,0.0012689035787059987
270.0,820.0,0.0012871427001742352,0.0012398193782259448
280.0,792.0,0.0012431914860219443,0.00121140180894763
290.0,773.0,0.0012133674478471755,0.0011836355911950863
300.0,750.0,0.001177264664793508,0.0011565057955137223
310.0,728.0,0.001142731567959565,0.0011299978346429942
320.0,701.0,0.0011003500400269988,0.001104097455673066
330.0,687.0,0.0010783744329508533,0.0010787907323812458
340.0,664.0,0.0010422716498971858,0.0010540640577440786
350.0,643.0,0.0010093082392829676,0.001029904136621064
360.0,624.0,0.0009794842011081985,0.001006297978606071
370.0,604.0,0.0009480904767137049,0.0009832328910426027
380.0,588.0,0.0009229754971981102,0.0009606964721991565
390.0,571.0,0.0008962908314627908,0.0009386766046010096
400.0,555.0,0.0008711758519471958,0.0009171614485148453
410.0,539.0,0.000846060872431601,0.0008961394355827161
420.0,518.0,0.0008130974618173829,0.0008755992626019219
430.0,508.0,0.0007974005996201361,0.0008555298854474562
440.0,494.0,0.0007754249925439905,0.000835920513133757
450.0,482.0,0.0007565887579072943,0.0008167606020125631
460.0,464.0,0.0007283344059522503,0.0007980398501037635
470.0,453.0,0.0007110678575352788,0.0007797481915561853
480.0,442.0,0.0006938013091183073,0.0007618757912353458
490.0,429.0,0.0006733953882618865,0.0007444130394352559
500.0,416.0,0.0006529894674054657,0.0007273505467114351
510.0,406.0,0.000637292605208219,0.000710679138832355
520.0,396.0,0.0006215957430109722,0.0006943898518466009
530.0,387.0,0.00060746856703345,0.0006784739272630982
540.0,377.0,0.0005917717048362033,0.0006629228073418092
550.0,368.0,0.0005776445288586812,0.0006477281304923742
560.0,359.0,0.0005635173528811591,0.0006328817267782149
570.0,351.0,0.0005509598631233617,0.0006183756135236907
580.0,342.0,0.0005368326871458396,0.0006042019910219398
590.0,333.0,0.0005227055111683175,0.0005903532383411018
600.0,325.0,0.00051014802141052,0.0005768219092266617
610.0,316.0,0.000496020845432998,0.0005636007280977189
620.0,312.0,0.0004897421005540993,0.0005506825861350217
630.0,304.0,0.00047718461079630185,0.0005380605374586689
640.0,297.0,0.00046619680725822917,0.000525727795393419
650.0,290.0,0.0004552090037201564,0.0005136777288196044
660.0,284.0,0.0004457908864018083,0.000501903858607682
670.0,277.0,0.0004348030828637356,0.0004903998541345095
680.0,271.0,0.0004253849655453875,0.00047915952987946853
690.0,266.0,0.00041753653444676417,0.0004681768420986094
700.0,263.0,0.0004128274757875901,0.00045744588557502505
710.0,256.0,0.00040183967224951736,0.0004469608904437106
720.0,246.0,0.00038614281005227056,0.00043671621908919766
730.0,244.0,0.00038300343761282123,0.0004267063631142984
740.0,241.0,0.00037829437895364716,0.0004169259403783274
750.0,236.0,0.0003704459478550238,0.000407369692103211
760.0,229.0,0.0003594581443169511,0.00039803248004592455
770.0,228.0,0.0003578884580972264,0.0003889092837357414
780.0,225.0,0.00035317939943805236,0.00037999519777480537
790.0,220.0,0.00034533096833942896,0.00037128542920057645
800.0,216.0,0.00033905222346053025,0.00036277529490873016
810.0,214.0,0.0003359128510210809,0.0003544602191351273
820.0,210.0,0.0003296341061421822,0.0003463357309954981
830.0,206.0,0.0003233553612632835,0.00033839746208151866
840.0,204.0,0.00032021598882383417,0.00033064114411198705
850.0,202.0,0.0003170766163843848,0.00032306260663783626
860.0,203.0,0.0003186463026041095,0.00031565777479975
870.0,200.0,0.0003139372439449354,0.0003084226671371759
880.0,196.0,0.00030765849906603675,0.00030135339344755614
890.0,194.0,0.00030451912662658737,0.0002944461526946288
900.0,191.0,0.00029981006796741335,0.0002876972309646703
910.0,189.0,0.00029667069552796396,0.0002811029994695823
920.0,188.0,0.0002951010093082393,0.00027465991259575126
930.0,184.0,0.0002888222644293406,0.0002683645059976273
940.0,182.0,0.00028568289198989123,0.00026221339473500067
950.0,180.0,0.0002825435195504419,0.00025620327145297375
960.0,178.0,0.0002794041471109925,0.0002503309046036479
970.0,175.0,0.0002746950884518185,0.00024459313670857234
980.0,172.0,0.0002699860297926445,0.00023898688266101752
990.0,171.0,0.0002684163435729198,0.00023350912806716223
1000.0,169.0,0.00026527697113347046,0.0002281569276253022
1010.0,169.0,0.00026527697113347046,0.00022292740354220805
1020.0,166.0,0.00026056791247429644,0.00021781774398578105
1030.0,164.0,0.00025742854003484706,0.00021282520157317648
1040.0,163.0,0.0002558588538151224,0.00020794709189357854
1050.0,161.0,0.00025271948137567304,0.0002031807920648361
1060.0,160.0,0.00025114979515594835,0.00019852373932318016
1070.0,159.0,0.00024958010893622365,0.00019397342964526634
1080.0,158.0,0.000248010422716499,0.00018952741640180165
1090.0,156.0,0.00024487105027704963,0.00018518330904203055
1100.0,154.0,0.0002417316778376003,0.00018093877180837354
1110.0,154.0,0.0002417316778376003,0.00017679152248052787
1120.0,153.0,0.00024016199161787561,0.00017273933114835335
1130.0,152.0,0.00023859230539815092,0.00016878001901288555
1140.0,151.0,0.00023702261917842623,0.00016491145721482997
1150.0,150.0,0.00023545293295870157,0.000161131565689908
1160.0,149.0,0.0002338832467389769,0.00015743831205043967
1170.0,148.0,0.0002323135605192522,0.00015382971049256105
1180.0,146.0,0.00022917418807980288,0.00015030382072848863
1190.0,146.0,0.00022917418807980288,0.000146858746943258
1200.0,145.0,0.0002276045018600782,0.0001434926367753735
1210.0,145.0,0.0002276045018600782,0.00014020368032082361
1220.0,143.0,0.00022446512942062886,0.00013699010915992378
1230.0,142.0,0.00022289544320090414,0.00013385019540646523
1240.0,143.0,0.00022446512942062886,0.0001307822507786583
1250.0,142.0,0.00022289544320090414,0.0001277846256913699
1260.0,138.0,0.00021661669832200546,0.0001248557083691676
1270.0,140.0,0.0002197560707614548,0.00012199392397969401
1280.0,139.0,0.00021818638454173012,0.00011919773378690396
1290.0,139.0,0.00021818638454173012,0.00011646563432371088
1300.0,138.0,0.00021661669832200546,0.00011379615658359627
1310.0,138.0,0.00021661669832200546,0.00011118786523074811
1320.0,137.0,0.00021504701210228077,0.0001086393578283038
1330.0,137.0,0.00021504701210228077,0.00010614926408428199
1340.0,136.0,0.0002134773258825561,0.00010371624511479829
1350.0,137.0,0.00021504701210228077,0.00010133899272416874
1360.0,135.0,0.00021190763966283144,9.901622870151377e-05
1370.0,135.0,0.00021190763966283144,9.674670413348435e-05
1380.0,135.0,0.00021190763966283144,9.452919873274134e-05
1390.0,135.0,0.00021190763966283144,9.236252018182605e-05
1400.0,134.0,0.00021033795344310675,9.024550349207038e-05
1410.0,132.0,0.00020719858100365737,8.817701037720079e-05
1420.0,134.0,0.00021033795344310675,8.615592864129963e-05
1430.0,132.0,0.00020719858100365737,8.418117158079536e-05
1440.0,133.0,0.00020876826722338208,8.225167740015918e-05
1450.0,132.0,0.00020719858100365737,8.036640864099428e-05
1460.0,133.0,0.00020876826722338208,7.852435162421115e-05
1470.0,131.0,0.0002056288947839327,7.672451590498826e-05
1480.0,132.0,0.00020719858100365737,7.496593374022567e-05
1490.0,131.0,0.0002056288947839327,7.324765956820498e-05
1500.0,130.0,0.00020405920856420804,7.15687695001756e-05
1510.0,132.0,0.00020719858100365737,6.992836082359469e-05
1520.0,130.0,0.00020405920856420804,6.83255515167528e-05
